"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,800,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","17,300,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","11,700,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,310,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","10,390,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","307,020,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","140,870,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","166,150,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","22,500,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,220,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","19,280,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,500,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,190,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","9,310,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","283,520,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","140,610,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","142,910,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","17,700,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,150,000,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","14,550,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","9,000,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,190,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,810,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","237,810,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","118,810,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","119,000,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","13,300,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,700,000,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","10,600,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,800,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,200,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,600,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","222,940,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","109,000,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","113,940,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","12,800,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,550,000,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","10,250,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,600,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,160,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,440,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","211,800,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","105,230,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","106,570,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","11,400,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,450,000,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","8,950,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,400,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,100,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,300,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","200,500,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","97,550,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","102,950,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,000,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,160,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,840,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,300,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,190,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,110,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","193,100,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","93,170,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","99,930,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","9,600,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,210,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,390,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,600,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,090,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,510,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","195,200,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","91,750,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","103,450,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,300,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,470,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,830,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,500,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,050,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,450,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","189,600,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","90,330,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","99,270,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,000,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,380,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,620,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","8,600,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,080,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,520,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","184,050,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","87,840,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","96,210,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","9,900,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,360,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,540,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","9,000,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,080,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","7,920,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","183,150,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","82,850,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","100,300,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,600,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","2,320,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","8,280,000,000",""
