Type,Pest,Family,Genus
Herbicide,"WOAD, DYER'S",,
Herbicide,"KYLLINGA, GREEN",,
Herbicide,WATERLETTUCE,,
Herbicide,LOCUST,,
Herbicide,"MUSTARD, HILL",,
Herbicide,SPRING-BEAUTY,,
Herbicide,"DITCHGRASS, SPIRAL",,
Herbicide,MEDUSAHEAD,,
Fungicide,PYTHIUM,,
Fungicide,"ROT, STEM",,
Fungicide,SPOT,,
Insecticide,"BUG, REDSHOULDERED STINK",,
Insecticide,"WHITEFLY, SILVERLEAF",,
Insecticide,"CLOVERWORM, GREEN",,
Herbicide,"BLUEGRASS, KENTUCKY",,
Herbicide,"GERANIUM, CUTLEAF",,
Herbicide,"THISTLE, MILK",,
Herbicide,"THISTLE, PRAIRIE",,
Herbicide,"GALINSOGA, HAIRY",,
Herbicide,"JACOB'S-LADDER, BLUE",,
Herbicide,"ROSE, CHEROKEE",,
Herbicide,"THISTLE, ITALIAN",,
Herbicide,"FLEABANE, HAIRY",,
Fungicide,"BLIGHT, ANTHRACNOSE LEAF",,
Fungicide,"BLIGHT, SOUTHERN CORN LEAF",,
Fungicide,FUSARIUM,,
Fungicide,"RUST, COMMON (CORN)",,
Fungicide,"RUST, SOUTHERN (CORN)",,
Fungicide,"SPOT, GRAY LEAF (CORN)",,
Fungicide,MOLD,,
Fungicide,SMUT,,
Fungicide,"SPOT, PHYSODERMA BROWN",,
Fungicide,"BLIGHT, ASCOCHYTA LEAF",,
Fungicide,"BLIGHT, NORTHERN CORN LEAF",,
Fungicide,"BLIGHT, YELLOW LEAF (CORN)",,
Fungicide,ERGOT,,
Fungicide,EYESPOT (CORN),,
Fungicide,"ROT, RHIZOCTONIA EAR (CORN)",,
Fungicide,"SMUT, COMMON",,
Fungicide,"WILT, STEWART'S",,
Herbicide,"MALLOW, LITTLE",,
Herbicide,"SODA APPLE, TROPICAL",,
Fungicide,SCLEROTINIA,,
Fungicide,"VIRUS, SOYBEAN MOSAIC",,
Insecticide,WHITEFLY,,
Insecticide,"WEEVIL, IMPORTED LONGHORNED",,
Herbicide,REDSHANK,,
Insecticide,"CUTWORM, PALE WESTERN",,
Herbicide,WILLOWHERB,,
Herbicide,"YAM, AIR",,
Herbicide,"ROSE, MACARTNEY",,
Herbicide,"SPURGE, CYPRESS",,
Fungicide,PREVENTATIVE PROGRAM,,
Fungicide,"RUST, LEAF",,
Fungicide,"SPOT, NORTHERN CORN LEAF",,
Fungicide,"ROT, BACTERIAL SOFT",,
Fungicide,SEEDLING DISEASE,,
Fungicide,"WILT, GOSS",,
Herbicide,"BUCKTHORN, EUROPEAN",,
Herbicide,"CLOVER, CRIMSON",,
Insecticide,"BEETLE, SUGARCANE",,
Herbicide,"CRABGRASS, HAIRY",,
Herbicide,"ROCKET, LONDON",,
Fungicide,SUDDEN DEATH SYNDROME (soybean),,
Fungicide,PHOMA,,
Fungicide,"BLIGHT, COMMON",,
Insecticide,"NEMATODE, DAGGER",,
Herbicide,"HEDGENETTLE, WOOLLY",,
Herbicide,"CANCERWORT, SHARPLEAF",,
Fungicide,ALL DISEASES,,
Insecticide,"APHID, BEAN",,
Herbicide,"FLEABANE, DAISY",,
Herbicide,WILDRYE,,
Insecticide,"NEMATODE, SOYBEAN CYST",,
Fungicide,"CANKER, SOYBEAN STEM",,
Insecticide,"BORER, BEAN POD",,
Herbicide,"CRABGRASS, SMOOTH",,
Insecticide,"CUTWORM, ARMY",,
Fungicide,"ROT, STENOCARPELLA EAR/STALK",,
Herbicide,"WIREWEED, COMMON",,
Herbicide,"SPURGE, TOOTHED",,
Herbicide,FIREWHEEL,,
Fungicide,"ROT, BROWN STEM",,
Fungicide,"ROT, RHIZOCTONIA ROOT",,
Fungicide,"SPOT, TARGET",,
Insecticide,"BUG, REDBANDED STINK",,
Insecticide,"BEETLE, COLORADO POTATO",,
Herbicide,"GRASS, TIGER",,
Fungicide,VIRUS,,
Herbicide,SALTCEDAR,,
Herbicide,"BROME, SMOOTH",,
Herbicide,"DAYFLOWER, BENGHAL",,
Herbicide,RICHWEED,,
Herbicide,"TEASEL, FULLER'S",,
Herbicide,SWEETCLOVER,,
Herbicide,GOOSEBERRY,,
Fungicide,"BLIGHT, BACTERIAL LEAF (SOYBEAN)",,
Fungicide,"BLAST, BACTERIAL",,
Insecticide,BEAN PLATASPID,,
Insecticide,"BUG, FALSE CHINCH",,
Insecticide,"WEEVIL, PEA LEAF",,
Herbicide,"TALLOWTREE, CHINESE",,
Herbicide,GREASEWOOD,,
Herbicide,YUCCA,,
Fungicide,"ROT, STALK",,
Herbicide,"CANARYGRASS, LITTLESEED",,
Herbicide,WATERCRESS,,
Insecticide,"APHID, BIRD CHERRY-OAT",,
Insecticide,"APHID, GREEN PEACH",,
Insecticide,"MITE, STRAWBERRY SPIDER",,
Herbicide,CREEPER,,
Herbicide,"HAWKSBEARD, NARROWLEAF",,
Herbicide,"GRASS, TUMBLE WINDMILL",,
Fungicide,"BLIGHT, SOUTHERN",,
Insecticide,"BEETLE, BLISTER",,
Herbicide,"SANDWEED, COMMON",,
Herbicide,"AMARANTH, POWELL'S",,
Herbicide,"PICKERELWEED, HEARTSHAPE FALSE",,
Herbicide,MILKVINE,,
Herbicide,CURLY PONDWEED,,
Herbicide,"FOXTAIL, CAROLINA",,
Herbicide,OSAGE-ORANGE,,
Herbicide,SUMAC,,
Herbicide,"SIDA, ARROWLEAF",,
Insecticide,"BUG, BROWN MARMORATED STINK",,
Insecticide,"BUG, LYGUS",,
Herbicide,"MORNINGGLORY, IVYLEAF",,
Herbicide,"PASPALUM, WATER",,
Herbicide,"INDIGO, HAIRY",,
Herbicide,VELVETWEED,,
Herbicide,"FLATSEDGE, RICEFIELD",,
Herbicide,"ARROWHEAD, GREGG",,
Fungicide,MOSAIC,,
Herbicide,RATTLEWEED,,
Herbicide,MILKVETCH,,
Herbicide,"WHEATGRASS, CRESTED",,
Herbicide,"SORREL, RED",,
Insecticide,"BILLBUG, SOUTHERN CORN",,
Herbicide,"BRACKENFERN, WESTERN",,
Herbicide,DOGWOOD,,
Herbicide,"WATERBUTTONS, AUSTRALIAN",,
Fungicide,PHOMOPSIS,,
Insecticide,"SKIPPER, SILVER SPOTTED",,
Insecticide,"NEMATODE, RENIFORM",,
Herbicide,"FESCUE, SHEEP",,
Herbicide,"TAIL, LIZARD'S",,
Herbicide,RUSH,,
Herbicide,"HORSENETTLE, WESTERN",,
Herbicide,HACKBERRY,,
Herbicide,"BURRWEED, FIELD",,
Herbicide,HORNPOPPY,,
Herbicide,"BROME, RED",,
Fungicide,ALTERNARIA,,
Insecticide,"BORER, DECTES STEM",,
Insecticide,"MAGGOT, BEAN SEED",,
Fungicide,"ROT, CROWN",,
Herbicide,BITTERCRESS,,
Herbicide,HONEYLOCUST,,
Herbicide,"WORMWOOD, BIENNIAL",,
Herbicide,MANNAGRASS,,
Herbicide,INDIANGRASS,,
Herbicide,HONEYVINE,,
Insecticide,"CATERPILLAR, THISTLE",,
Herbicide,"PARSNIP, WILD",,
Fungicide,"SPOT, TAR",,
Herbicide,"GRASS, NORTH AFRICA",,
Herbicide,"MOLD, WHITE",,
Insecticide,BANDED WOOLLYBEAR,,
Insecticide,"CATERPILLAR, SALTMARSH",,
Herbicide,HEDGEMUSTARD,,
Herbicide,"KNOTWEED, PROSTRATE",,
Herbicide,"MILLET, JAPANESE",,
Insecticide,"NEMATODE, LESION",,
Herbicide,"HEMPVINE, CLIMBING",,
Herbicide,DEVILS GUT,,
Fungicide,"SPOT, BLACK",,
Herbicide,"GOOSEFOOT, NETTLELEAF",,
Herbicide,WAXWEED,,
Insecticide,"BEETLE, SAP",,
Herbicide,CROWNVETCH,,
Herbicide,"WINTERGRASS, TEXAS",,
Herbicide,MULBERRY,,
Herbicide,"WHEATGRASS, WESTERN",,
Herbicide,THREEAWN,,
Herbicide,AQUATICS,,
Herbicide,MARSH GRASS,,
