Type,Crop,Pest,Family,Genus
Herbicide,Corn,KNAPWEED,,
Herbicide,Soybeans,KNAPWEED,,
Herbicide,Corn,"KNAPWEED, RUSSIAN",,
Herbicide,Soybeans,"KNAPWEED, RUSSIAN",,
Herbicide,Corn,"KNAPWEED, SPOTTED",,
Herbicide,Soybeans,"KNAPWEED, SPOTTED",,
Herbicide,Corn,KNOTGRASS,,
Herbicide,Soybeans,KNOTGRASS,,
Herbicide,Corn,KNOTWEED,,
Herbicide,Soybeans,KNOTWEED,,
Herbicide,Corn,"KNOTWEED, JAPANESE",,
Herbicide,Soybeans,"KNOTWEED, JAPANESE",,
Herbicide,Soybeans,"KNOTWEED, PROSTRATE",,
Herbicide,Corn,KOCHIA,,
Herbicide,Soybeans,KOCHIA,,
Herbicide,Corn,KUDZU,,
Herbicide,Soybeans,KUDZU,,
Herbicide,Corn,"KYLLINGA, GREEN",,
Herbicide,Corn,LADYSTHUMB,,
Herbicide,Corn,LAMBSQUARTERS,,Chenopodium
Herbicide,Soybeans,LAMBSQUARTERS,,
Herbicide,Corn,LANTANA,,
Herbicide,Soybeans,LANTANA,,
Herbicide,Corn,LARKSPUR,,
Herbicide,Soybeans,LARKSPUR,,
Herbicide,Corn,LEADPLANT,,
Herbicide,Corn,LESPEDEZA,,
Herbicide,Soybeans,LESPEDEZA,,
Herbicide,Corn,"LETTUCE, BLUE",,
Herbicide,Soybeans,"LETTUCE, BLUE",,
Herbicide,Corn,"LETTUCE, INDIAN",,
Herbicide,Soybeans,"LETTUCE, INDIAN",,
Herbicide,Corn,"LETTUCE, PRICKLY",,
Herbicide,Soybeans,"LETTUCE, PRICKLY",,
Herbicide,Corn,"LETTUCE, TALL",,
Herbicide,Soybeans,"LETTUCE, TALL",,
Herbicide,Corn,LILY,,
Herbicide,Soybeans,LILY,,
Herbicide,Corn,"LOCO, WOOLLY",,
Herbicide,Soybeans,"LOCO, WOOLLY",,
Herbicide,Soybeans,"LOCO, WOOTON",,
Herbicide,Corn,LOCUST,,
Herbicide,Soybeans,LOCUST,,
Herbicide,Corn,"LOOSESTRIFE, PURPLE",,
Herbicide,Corn,LOVEGRASS,,
Herbicide,Soybeans,LOVEGRASS,,
Herbicide,Corn,LUPINE,,
Herbicide,Soybeans,LUPINE,,
Herbicide,Corn,MAIDENCANE,,
Herbicide,Soybeans,MAIDENCANE,,
Herbicide,Corn,"MALLOW, COMMON",,
Herbicide,Soybeans,"MALLOW, COMMON",,
Herbicide,Corn,"MALLOW, LITTLE",,
Herbicide,Corn,"MALLOW, VENICE",,
Herbicide,Soybeans,"MALLOW, VENICE",,
Herbicide,Corn,MANNAGRASS,,
Herbicide,Soybeans,MANNAGRASS,,
Herbicide,Corn,"MANNAGRASS, RATTLESNAKE",,
Herbicide,Soybeans,"MANNAGRASS, RATTLESNAKE",,
Herbicide,Corn,MARESTAIL,,Conyza
Herbicide,Soybeans,MARESTAIL,,
Herbicide,Corn,"MARIGOLD, DWARF",,
Herbicide,Soybeans,"MARIGOLD, DWARF",,
Herbicide,Corn,"MARIGOLD, WILD",,
Herbicide,Soybeans,"MARIGOLD, WILD",,
Herbicide,Corn,MARIJUANA,,
Herbicide,Soybeans,MARIJUANA,,
Herbicide,Soybeans,MARSH GRASS,,
Herbicide,Corn,MARSHELDER,,
Herbicide,Soybeans,MARSHELDER,,
Herbicide,Corn,MAYFLOWER,,
Herbicide,Soybeans,MAYFLOWER,,
Herbicide,Soybeans,"MEDIC, BLACK",,
Herbicide,Soybeans,MEDUSAHEAD,,
Herbicide,Corn,MESQUITE,,
Herbicide,Soybeans,MESQUITE,,
Herbicide,Corn,MEXICANWEED,,
Herbicide,Soybeans,MEXICANWEED,,
Herbicide,Corn,MILKVETCH,,
Herbicide,Soybeans,MILKVINE,,
Herbicide,Corn,MILKWEED,,Asclepias
Herbicide,Soybeans,MILKWEED,,
Herbicide,Corn,"MILLET, BROWNTOP",,
Herbicide,Soybeans,"MILLET, BROWNTOP",,
Herbicide,Corn,"MILLET, FOXTAIL",,
Herbicide,Soybeans,"MILLET, FOXTAIL",,
Herbicide,Soybeans,"MILLET, JAPANESE",,
Herbicide,Corn,"MILLET, WILD-PROSO",,
Herbicide,Soybeans,"MILLET, WILD-PROSO",,
Herbicide,Corn,MINT,,
Herbicide,Soybeans,MINT,,
Herbicide,Soybeans,"MOLD, WHITE",,
Herbicide,Corn,MONEYWORT,,
Herbicide,Soybeans,MONEYWORT,,
Herbicide,Soybeans,"MOONFLOWER, PURPLE",,
Herbicide,Corn,MORNINGGLORY,,Ipomoea
Herbicide,Soybeans,MORNINGGLORY,,
Herbicide,Corn,"MORNINGGLORY, BIGROOT",,
Herbicide,Soybeans,"MORNINGGLORY, BIGROOT",,
Herbicide,Corn,"MORNINGGLORY, IVYLEAF",,
Herbicide,Soybeans,"MORNINGGLORY, IVYLEAF",,
Herbicide,Corn,MOSS,,
Herbicide,Soybeans,MOSS,,
Herbicide,Corn,"MOSS, SPANISH",,
Herbicide,Soybeans,"MOSS, SPANISH",,
Herbicide,Corn,MUGWORT,,
Herbicide,Soybeans,MUGWORT,,
Herbicide,Corn,"MUHLY, WIRESTEM",,
Herbicide,Soybeans,"MUHLY, WIRESTEM",,
Herbicide,Corn,MULBERRY,,
Herbicide,Soybeans,MULBERRY,,
Herbicide,Corn,MULLEIN,,
Herbicide,Soybeans,MULLEIN,,
Herbicide,Corn,"MULLEIN, TURKEY",,
Herbicide,Soybeans,"MULLEIN, TURKEY",,
Herbicide,Corn,"MUSTARD, BLACK",,
Herbicide,Soybeans,"MUSTARD, BLACK",,
Herbicide,Corn,"MUSTARD, BLUE",,
Herbicide,Soybeans,"MUSTARD, BLUE",,
Herbicide,Corn,"MUSTARD, HILL",,
Herbicide,Soybeans,"MUSTARD, HILL",,
Herbicide,Corn,"MUSTARD, TUMBLE",,
Herbicide,Soybeans,"MUSTARD, TUMBLE",,
Herbicide,Corn,"MUSTARD, WALLFLOWER",,
Herbicide,Soybeans,"MUSTARD, WALLFLOWER",,
Herbicide,Corn,"MUSTARD, WILD",,
Herbicide,Soybeans,"MUSTARD, WILD",,
Herbicide,Corn,"MUSTARD, YELLOW",,
Herbicide,Soybeans,"MUSTARD, YELLOW",,
Herbicide,Corn,NAIAD,,
Herbicide,Soybeans,NAIAD,,
Herbicide,Corn,NAPIERGRASS,,
Herbicide,Soybeans,NAPIERGRASS,,
Herbicide,Corn,NEEDLEGRASS,,
Herbicide,Soybeans,NEEDLEGRASS,,
Herbicide,Corn,NETTLE,,
Herbicide,Soybeans,NETTLE,,
Herbicide,Corn,"NETTLE, BURNING",,
Herbicide,Soybeans,"NETTLE, BURNING",,
Herbicide,Corn,"NETTLE, STINGING",,
Herbicide,Soybeans,"NETTLE, STINGING",,
Herbicide,Corn,"NIGHTSHADE,  AMERICAN BLACK",,
Herbicide,Soybeans,"NIGHTSHADE,  AMERICAN BLACK",,
Herbicide,Corn,"NIGHTSHADE, BLACK",,Solanum
Herbicide,Soybeans,"NIGHTSHADE, BLACK",,
Herbicide,Corn,"NIGHTSHADE, CUTLEAF",,
Herbicide,Soybeans,"NIGHTSHADE, CUTLEAF",,
Herbicide,Corn,"NIGHTSHADE, EASTERN BLACK",,
Herbicide,Soybeans,"NIGHTSHADE, EASTERN BLACK",,
Herbicide,Corn,"NIGHTSHADE, HAIRY",,
Herbicide,Soybeans,"NIGHTSHADE, HAIRY",,
Herbicide,Corn,"NIGHTSHADE, PURPLE",,
Herbicide,Soybeans,"NIGHTSHADE, PURPLE",,
Herbicide,Corn,"NIGHTSHADE, SILVERLEAF",,
Herbicide,Soybeans,"NIGHTSHADE, SILVERLEAF",,
Herbicide,Corn,NIMBLEWILL,,
Herbicide,Soybeans,NIMBLEWILL,,
Herbicide,Corn,No Answer Weed,,
Herbicide,Soybeans,No Answer Weed,,
Herbicide,Corn,NUTSEDGE,,
Herbicide,Soybeans,NUTSEDGE,,
Herbicide,Corn,"NUTSEDGE, PURPLE",,
Herbicide,Soybeans,"NUTSEDGE, PURPLE",,
Herbicide,Corn,"NUTSEDGE, YELLOW",,
Herbicide,Soybeans,"NUTSEDGE, YELLOW",,
Herbicide,Corn,OAK,,
Herbicide,Soybeans,OAK,,
Herbicide,Corn,"OAK, POST",,
Herbicide,Soybeans,"OAK, POST",,
Herbicide,Corn,"OAK, SHINNERY",,
Herbicide,Corn,"OAT, VOLUNTEER",,
Herbicide,Soybeans,"OAT, VOLUNTEER",,
Herbicide,Corn,"OAT, WILD",,
Herbicide,Soybeans,"OAT, WILD",,
Herbicide,Corn,"OLIVE, RUSSIAN",,
Herbicide,Corn,"ONION, WILD",,
Herbicide,Soybeans,"ONION, WILD",,
Herbicide,Corn,ONIONGRASS,,
Herbicide,Soybeans,ONIONGRASS,,
Herbicide,Corn,ORCHARDGRASS,,
Herbicide,Soybeans,ORCHARDGRASS,,
Herbicide,Corn,OSAGE-ORANGE,,
Herbicide,Soybeans,OSAGE-ORANGE,,
Herbicide,Corn,OXALIS,,
Herbicide,Soybeans,OXALIS,,
Herbicide,Soybeans,"OXTONGUE, BRISTLY",,
Herbicide,Corn,PALMGRASS,,
Herbicide,Soybeans,PALMGRASS,,
Herbicide,Corn,PANICUM,,
Herbicide,Soybeans,PANICUM,,
Herbicide,Corn,"PANICUM, BROWNTOP",,
Herbicide,Soybeans,"PANICUM, BROWNTOP",,
Herbicide,Corn,"PANICUM, FALL",,
Herbicide,Soybeans,"PANICUM, FALL",,
Herbicide,Corn,"PANICUM, TEXAS",,
Herbicide,Soybeans,"PANICUM, TEXAS",,
Herbicide,Corn,PARAGRASS,,
Herbicide,Soybeans,PARAGRASS,,
Herbicide,Corn,PARSLEY,,
Herbicide,Soybeans,PARSLEY,,
Herbicide,Corn,"PARSLEY, SPRING",,
Herbicide,Soybeans,"PARSLEY, SPRING",,
Herbicide,Soybeans,"PARSNIP, WILD",,
Herbicide,Corn,PARTRIDGEPEA,,
Herbicide,Soybeans,PARTRIDGEPEA,,
Herbicide,Corn,"PASPALUM, BULL",,
Herbicide,Soybeans,"PASPALUM, BULL",,
Herbicide,Corn,"PASPALUM, SOUR",,
Herbicide,Soybeans,"PASPALUM, SOUR",,
Herbicide,Corn,"PASPALUM, WATER",,
Herbicide,Soybeans,"PASPALUM, WATER",,
Herbicide,Soybeans,"PASSIONFLOWER, MAYPOP",,
Herbicide,Corn,"PEANUTS, VOLUNTEER",,
Herbicide,Soybeans,"PEANUTS, VOLUNTEER",,
Herbicide,Corn,PEAVINE,,
Herbicide,Soybeans,PEAVINE,,
Herbicide,Corn,PENNYCRESS,,
Herbicide,Soybeans,PENNYCRESS,,
Herbicide,Corn,"PENNYCRESS, FIELD",,
Herbicide,Soybeans,"PENNYCRESS, FIELD",,
Herbicide,Corn,PENNYWORT,,
Herbicide,Corn,PEPPERWEED,,
Herbicide,Soybeans,PEPPERWEED,,
Herbicide,Corn,"PEPPERWEED, PERENNIAL",,
Herbicide,Soybeans,"PEPPERWEED, PERENNIAL",,
Herbicide,Corn,PERIWINKLE,,
Herbicide,Soybeans,PERIWINKLE,,
Herbicide,Corn,PERSIMMON,,
Herbicide,Soybeans,PERSIMMON,,
Herbicide,Corn,PICKERELWEED,,
Herbicide,Soybeans,PICKERELWEED,,
Herbicide,Corn,"PICKERELWEED, HEARTSHAPE FALSE",,
Herbicide,Soybeans,"PICKERELWEED, HEARTSHAPE FALSE",,
Herbicide,Corn,"PIGWEED, REDROOT",,Amaranthus
Herbicide,Soybeans,"PIGWEED, REDROOT",,
Herbicide,Corn,"PIGWEED, SMOOTH",,
Herbicide,Soybeans,"PIGWEED, SMOOTH",,
Herbicide,Corn,"PIGWEED, TUMBLE",,
Herbicide,Soybeans,"PIGWEED, TUMBLE",,
Herbicide,Corn,PINEAPPLE-WEED,,
Herbicide,Soybeans,PINEAPPLE-WEED,,
Herbicide,Corn,PINKROOT,,
Herbicide,Soybeans,PINKROOT,,
Herbicide,Corn,PLANTAIN,,
Herbicide,Soybeans,PLANTAIN,,
Herbicide,Corn,"PLANTAIN, BROADLEAF",,
Herbicide,Soybeans,"PLANTAIN, BROADLEAF",,
Herbicide,Corn,"PLANTAIN, BUCKHORN",,
Herbicide,Soybeans,"PLANTAIN, BUCKHORN",,
Herbicide,Corn,"PLUM, AMERICAN",,
Herbicide,Soybeans,"PLUM, AMERICAN",,
Herbicide,Corn,"PLUM, SAND",,
Herbicide,Soybeans,"PLUM, SAND",,
Herbicide,Corn,"POINSETTIA, WILD",,
Herbicide,Soybeans,"POINSETTIA, WILD",,
Herbicide,Corn,POISON-HEMLOCK,,
Herbicide,Soybeans,POISON-HEMLOCK,,
Herbicide,Corn,POISON-IVY,,
Herbicide,Soybeans,POISON-IVY,,
Herbicide,Corn,POISON-OAK,,
Herbicide,Corn,POKEWEED,,
Herbicide,Soybeans,POKEWEED,,
Herbicide,Corn,PONDWEED,,
Herbicide,Soybeans,PONDWEED,,
Herbicide,Corn,POORJOE,,
Herbicide,Soybeans,POORJOE,,
Herbicide,Corn,"POPPY, FIELD",,
Herbicide,Soybeans,"POPPY, FIELD",,
Herbicide,Corn,"POTATO, VOLUNTEER",,
Herbicide,Soybeans,"POTATO, VOLUNTEER",,
Herbicide,Corn,POVERTYWEED,,
Herbicide,Soybeans,POVERTYWEED,,
Herbicide,Corn,PRICKLYPEAR,,
Herbicide,Soybeans,PRICKLYPEAR,,
Herbicide,Corn,PUNCTUREVINE,,
Herbicide,Soybeans,PUNCTUREVINE,,
Herbicide,Corn,PURPLETOP,,
Herbicide,Soybeans,PURPLETOP,,
Herbicide,Corn,PURSLANE,,
Herbicide,Soybeans,PURSLANE,,
Herbicide,Corn,"PUSLEY, FLORIDA",,
Herbicide,Soybeans,"PUSLEY, FLORIDA",,
Herbicide,Corn,QUACKGRASS,,
Herbicide,Soybeans,QUACKGRASS,,
Herbicide,Corn,RABBITBRUSH,,
Herbicide,Soybeans,RABBITBRUSH,,
Herbicide,Corn,"RADISH, WILD",,
Herbicide,Soybeans,"RADISH, WILD",,
Herbicide,Corn,RAGWEED,,Ambrosia
Herbicide,Soybeans,RAGWEED,,
Herbicide,Corn,"RAGWEED, BURR",,
Herbicide,Soybeans,"RAGWEED, BURR",,
Herbicide,Corn,"RAGWEED, GIANT",,Ambrosia
Herbicide,Soybeans,"RAGWEED, GIANT",,
Herbicide,Corn,"RAGWEED, LANCELEAF",,
Herbicide,Soybeans,"RAGWEED, LANCELEAF",,
Herbicide,Corn,"RAGWEED, WESTERN",,
Herbicide,Soybeans,"RAGWEED, WESTERN",,
Herbicide,Corn,"RAGWORT, TANSY",,
Herbicide,Soybeans,"RAGWORT, TANSY",,
Herbicide,Corn,"RAPE, VOLUNTEER",,
Herbicide,Soybeans,"RAPE, VOLUNTEER",,
Herbicide,Corn,RATTLEWEED,,
Herbicide,Soybeans,RATTLEWEED,,
Herbicide,Corn,RED-MAIDS,,
Herbicide,Corn,REDSHANK,,
Herbicide,Soybeans,REDSHANK,,
Herbicide,Corn,REDSTEM,,
Herbicide,Soybeans,REDSTEM,,
Herbicide,Corn,REDTOP,,
Herbicide,Soybeans,REDTOP,,
Herbicide,Corn,REDVINE,,
Herbicide,Soybeans,REDVINE,,
Herbicide,Corn,REDWEED,,
Herbicide,Soybeans,REDWEED,,
Herbicide,Corn,RESCUEGRASS,,
Herbicide,Soybeans,RESCUEGRASS,,
Herbicide,Corn,"RICE, RED",,
Herbicide,Soybeans,"RICE, RED",,
Herbicide,Corn,RICHWEED,,
Herbicide,Soybeans,RICHWEED,,
Herbicide,Corn,"ROCKET, LONDON",,
Herbicide,Soybeans,"ROCKET, LONDON",,
Herbicide,Corn,"ROCKET, YELLOW",,
Herbicide,Soybeans,"ROCKET, YELLOW",,
Herbicide,Corn,"ROSE, CHEROKEE",,
Herbicide,Soybeans,"ROSE, CHEROKEE",,
Herbicide,Corn,"ROSE, MACARTNEY",,
Herbicide,Soybeans,"ROSE, MACARTNEY",,
Herbicide,Corn,"ROSE, MULTIFLORA",,
Herbicide,Soybeans,"ROSE, MULTIFLORA",,
Herbicide,Corn,RUSH,,
Herbicide,Soybeans,RUSH,,
Herbicide,Corn,RYEGRASS,,
Herbicide,Soybeans,RYEGRASS,,
Herbicide,Corn,SAGE,,
Herbicide,Soybeans,SAGE,,
Herbicide,Corn,"SAGE, LANCELEAF",,
Herbicide,Soybeans,"SAGE, LANCELEAF",,
Herbicide,Corn,SAGEBRUSH,,
Herbicide,Corn,SALTCEDAR,,
Herbicide,Soybeans,SALTCEDAR,,
Herbicide,Corn,SALTGRASS,,
Herbicide,Soybeans,SALTGRASS,,
Herbicide,Corn,SANDBUR,,
Herbicide,Soybeans,SANDBUR,,
Herbicide,Corn,"SANDWEED, COMMON",,
Herbicide,Corn,SASSAFRAS,,
Herbicide,Corn,SAWGRASS,,
Herbicide,Soybeans,SAWGRASS,,
Herbicide,Soybeans,"SCALESEED, SPREADING",,
Herbicide,Corn,SEDGE,,
Herbicide,Soybeans,SEDGE,,
Herbicide,Corn,"SEDGE, SMALLFLOWER UMBRELLA",,
Herbicide,Soybeans,"SEDGE, SMALLFLOWER UMBRELLA",,
Herbicide,Corn,"SEDGE, WATER",,
Herbicide,Soybeans,"SEDGE, WATER",,
Herbicide,Corn,SEEPWEED,,
Herbicide,Soybeans,SEEPWEED,,
Herbicide,Corn,"SENNA, COFFEE",,
Herbicide,Soybeans,"SENNA, COFFEE",,
Herbicide,Corn,"SESBANIA, HEMP",,
Herbicide,Soybeans,"SESBANIA, HEMP",,
Herbicide,Corn,SHATTERCANE,,
Herbicide,Soybeans,SHATTERCANE,,
Herbicide,Corn,SHEPHERD'S-PURSE,,Capsella
Herbicide,Soybeans,SHEPHERD'S-PURSE,,
Herbicide,Corn,SICKLEGRASS,,
Herbicide,Soybeans,SICKLEGRASS,,
Herbicide,Corn,SICKLEPOD,,
Herbicide,Soybeans,SICKLEPOD,,
Herbicide,Corn,"SIDA, ARROWLEAF",,
Herbicide,Soybeans,"SIDA, ARROWLEAF",,
Herbicide,Corn,"SIDA, PRICKLY",,
Herbicide,Soybeans,"SIDA, PRICKLY",,
Herbicide,Corn,"SIGNALGRASS, BROADLEAF",,
Herbicide,Soybeans,"SIGNALGRASS, BROADLEAF",,
Herbicide,Corn,SKELETONWEED,,
Herbicide,Soybeans,SKELETONWEED,,
Herbicide,Corn,SKUNKWEED,,
Herbicide,Soybeans,SKUNKWEED,,
Herbicide,Corn,SMARTWEED,,
Herbicide,Soybeans,SMARTWEED,,
Herbicide,Corn,"SMARTWEED, PENNSYLVANIA",,
Herbicide,Soybeans,"SMARTWEED, PENNSYLVANIA",,
Herbicide,Corn,"SMARTWEED, SWAMP",,
Herbicide,Soybeans,"SMARTWEED, SWAMP",,
Herbicide,Corn,SMELLMELON,,
Herbicide,Soybeans,SMELLMELON,,
Herbicide,Corn,SMUTGRASS,,
Herbicide,Soybeans,SMUTGRASS,,
Herbicide,Corn,"SNAKEWEED, BROOM",,
Herbicide,Soybeans,"SNAKEWEED, BROOM",,
Herbicide,Corn,"SNEEZEWEED, BITTER",,
Herbicide,Soybeans,"SNEEZEWEED, BITTER",,
Herbicide,Corn,"SODA APPLE, TROPICAL",,
Herbicide,Soybeans,"SODA APPLE, TROPICAL",,
Herbicide,Corn,SORGHUM-ALMUM,,
Herbicide,Corn,"SORGHUM, VOLUNTEER",,
Herbicide,Soybeans,"SORGHUM, VOLUNTEER",,
Herbicide,Corn,"SORREL, RED",,
Herbicide,Corn,SOURGRASS,,
Herbicide,Soybeans,SOURGRASS,,
Herbicide,Corn,SOWTHISTLE,,
Herbicide,Soybeans,SOWTHISTLE,,
Herbicide,Corn,SPANISHNEEDLES,,
Herbicide,Soybeans,SPANISHNEEDLES,,
Herbicide,Corn,SPEEDWELL,,
Herbicide,Soybeans,SPEEDWELL,,
Herbicide,Corn,SPIDERWORT,,
Herbicide,Soybeans,SPIDERWORT,,
Herbicide,Corn,SPIKERUSH,,
Herbicide,Corn,SPIKEWEED,,
Herbicide,Soybeans,SPIKEWEED,,
Herbicide,Corn,SPRANGLETOP,,
Herbicide,Soybeans,SPRANGLETOP,,
Herbicide,Soybeans,SPRING-BEAUTY,,
Herbicide,Corn,SPURGE,,
Herbicide,Soybeans,SPURGE,,
Herbicide,Corn,"SPURGE, CYPRESS",,
Herbicide,Soybeans,"SPURGE, CYPRESS",,
Herbicide,Corn,"SPURGE, LEAFY",,
Herbicide,Soybeans,"SPURGE, LEAFY",,
Herbicide,Corn,"SPURGE, PROSTRATE",,
Herbicide,Soybeans,"SPURGE, PROSTRATE",,
Herbicide,Corn,"SPURGE, SPOTTED",,
Herbicide,Soybeans,"SPURGE, SPOTTED",,
Herbicide,Corn,"SPURGE, TOOTHED",,
Herbicide,Soybeans,"SPURGE, TOOTHED",,
Herbicide,Corn,"SPURRY, CORN",,
Herbicide,Corn,ST. AUGUSTINEGRASS,,
Herbicide,Corn,ST. JOHNSWORT,,
Herbicide,Soybeans,ST. JOHNSWORT,,
Herbicide,Soybeans,STAR OF BETHLEHEM,,
Herbicide,Corn,"STARBUR, BRISTLY",,
Herbicide,Soybeans,"STARBUR, BRISTLY",,
Herbicide,Corn,STARTHISTLE,,
Herbicide,Soybeans,STARTHISTLE,,
Herbicide,Corn,"STARTHISTLE, YELLOW",,
Herbicide,Corn,"STICKTIGHT, EUROPEAN",,
Herbicide,Soybeans,"STICKTIGHT, EUROPEAN",,
Herbicide,Corn,STINKGRASS,,
Herbicide,Soybeans,STINKGRASS,,
Herbicide,Corn,STINKWEED,,
Herbicide,Soybeans,STINKWEED,,
Herbicide,Corn,"SUGAR BEET, VOLUNTEER",,
Herbicide,Soybeans,"SUGAR BEET, VOLUNTEER",,
Herbicide,Corn,SULFONYLUREA RESISTANT WEEDS,,
Herbicide,Soybeans,SULFONYLUREA RESISTANT WEEDS,,
Herbicide,Soybeans,SUMAC,,
Herbicide,Corn,"SUMAC, SMOOTH",,
Herbicide,Soybeans,"SUMAC, SMOOTH",,
Herbicide,Corn,SUMPWEED,,
Herbicide,Soybeans,SUMPWEED,,
Herbicide,Corn,SUNFLOWER,,
Herbicide,Soybeans,SUNFLOWER,,
Herbicide,Corn,"SUNFLOWER, VOLUNTEER",,
Herbicide,Soybeans,"SUNFLOWER, VOLUNTEER",,
Herbicide,Corn,SWEETCLOVER,,
Herbicide,Soybeans,SWEETCLOVER,,
Herbicide,Corn,SWINECRESS,,
Herbicide,Corn,SWITCHGRASS,,
Herbicide,Soybeans,SWITCHGRASS,,
Herbicide,Corn,"TAIL, LIZARD'S",,
Herbicide,Corn,"TALLOWTREE, CHINESE",,
Herbicide,Corn,TALLOWWEED,,
Herbicide,Soybeans,TALLOWWEED,,
Herbicide,Soybeans,TANOAK,,
Herbicide,Corn,TANSY,,
Herbicide,Soybeans,TANSY,,
Herbicide,Corn,TANSYMUSTARD,,
Herbicide,Soybeans,TANSYMUSTARD,,
Herbicide,Corn,"TARO, WILD",,
Herbicide,Soybeans,"TARO, WILD",,
Herbicide,Corn,TARWEED,,
Herbicide,Soybeans,TARWEED,,
Herbicide,Corn,"TEASEL, FULLER'S",,
Herbicide,Soybeans,"TEASEL, FULLER'S",,
Herbicide,Corn,TEXAS BLUEWEED,,
Herbicide,Soybeans,TEXAS BLUEWEED,,
Herbicide,Corn,TEXASWEED,,
Herbicide,Soybeans,TEXASWEED,,
Herbicide,Corn,THISTLE,,
Herbicide,Soybeans,THISTLE,,
Herbicide,Corn,"THISTLE, BULL",,
Herbicide,Soybeans,"THISTLE, BULL",,
Herbicide,Corn,"THISTLE, CANADA",,
Herbicide,Soybeans,"THISTLE, CANADA",,
Herbicide,Corn,"THISTLE, FLODMAN",,
Herbicide,Soybeans,"THISTLE, FLODMAN",,
Herbicide,Corn,"THISTLE, ITALIAN",,
Herbicide,Soybeans,"THISTLE, ITALIAN",,
Herbicide,Corn,"THISTLE, MILK",,
Herbicide,Soybeans,"THISTLE, MILK",,
Herbicide,Corn,"THISTLE, MUSK",,
Herbicide,Soybeans,"THISTLE, MUSK",,
Herbicide,Corn,"THISTLE, PLUMELESS",,
Herbicide,Soybeans,"THISTLE, PLUMELESS",,
Herbicide,Corn,"THISTLE, PRAIRIE",,
Herbicide,Soybeans,"THISTLE, PRAIRIE",,
Herbicide,Corn,"THISTLE, RUSSIAN",,
Herbicide,Soybeans,"THISTLE, RUSSIAN",,
Herbicide,Corn,"THISTLE, SCOTCH",,
Herbicide,Soybeans,"THISTLE, SCOTCH",,
Herbicide,Soybeans,THREEAWN,,
Herbicide,Corn,TICKWEED,,
Herbicide,Soybeans,TICKWEED,,
Herbicide,Corn,TIMOTHY,,
Herbicide,Soybeans,TIMOTHY,,
Herbicide,Soybeans,TOADFLAX,,
Herbicide,Corn,"TOBACCO, WILD",,
Herbicide,Soybeans,"TOBACCO, WILD",,
Herbicide,Corn,TORPEDOGRASS,,
Herbicide,Soybeans,TORPEDOGRASS,,
Herbicide,Corn,TREE,,
Herbicide,Soybeans,TREE,,
Herbicide,Corn,"TREFOIL, BIRDSFOOT",,
Herbicide,Soybeans,"TREFOIL, BIRDSFOOT",,
Herbicide,Corn,TRUMPETCREEPER,,
Herbicide,Soybeans,TRUMPETCREEPER,,
Herbicide,Corn,TUMBLEGRASS,,
Herbicide,Soybeans,TUMBLEGRASS,,
Herbicide,Corn,Unidentified Weed,,
Herbicide,Soybeans,Unidentified Weed,,
Herbicide,Corn,VASEYGRASS,,
Herbicide,Soybeans,VASEYGRASS,,
Herbicide,Corn,"VELVETGRASS, COMMON",,
Herbicide,Soybeans,"VELVETGRASS, COMMON",,
Herbicide,Corn,"VELVETGRASS, GERMAN",,
Herbicide,Soybeans,"VELVETGRASS, GERMAN",,
Herbicide,Corn,VELVETLEAF,,
Herbicide,Soybeans,VELVETLEAF,,
Herbicide,Corn,VELVETWEED,,
Herbicide,Soybeans,VELVETWEED,,
Herbicide,Corn,"VERVAIN, BLUE",,
Herbicide,Soybeans,"VERVAIN, BLUE",,
Herbicide,Corn,VETCH,,
Herbicide,Soybeans,VETCH,,
Herbicide,Corn,"VETCH, HAIRY",,
Herbicide,Soybeans,"VETCH, HAIRY",,
Herbicide,Corn,VINE,,
Herbicide,Soybeans,VINE,,
Herbicide,Corn,"VINE, BLADDER",,
Herbicide,Soybeans,"VINE, BLADDER",,
Herbicide,Corn,"VINE, MILKWEED",,
Herbicide,Soybeans,"VINE, MILKWEED",,
Herbicide,Corn,"VIOLET, FIELD",,
Herbicide,Soybeans,"VIOLET, FIELD",,
Herbicide,Corn,"WATERBUTTONS, AUSTRALIAN",,
Herbicide,Soybeans,"WATERBUTTONS, AUSTRALIAN",,
Herbicide,Corn,WATERCRESS,,
Herbicide,Soybeans,WATERCRESS,,
Herbicide,Corn,WATERGRASS,,
Herbicide,Soybeans,WATERGRASS,,
Herbicide,Corn,WATERHEMLOCK,,
Herbicide,Soybeans,WATERHEMLOCK,,
Herbicide,Corn,"WATERHEMP, COMMON",,
Herbicide,Soybeans,"WATERHEMP, COMMON",,
Herbicide,Corn,"WATERHEMP, TALL",,
Herbicide,Soybeans,"WATERHEMP, TALL",,
Herbicide,Corn,WATERHYACINTH,,
Herbicide,Soybeans,WATERHYACINTH,,
Herbicide,Soybeans,WATERLETTUCE,,
Herbicide,Corn,WATERLILY,,
Herbicide,Corn,WATERMELON,,
Herbicide,Soybeans,WATERMELON,,
Herbicide,Corn,"WATERMILFOIL, EURASIAN",,
Herbicide,Corn,WATERPURSLANE,,
Herbicide,Soybeans,WATERPURSLANE,,
Herbicide,Corn,"WAXMYRTLE, SOUTHERN",,
Herbicide,Soybeans,"WAXMYRTLE, SOUTHERN",,
Herbicide,Corn,WAXWEED,,
