Type,ai,Volume.lbs,Base.Area.Treated.sum,nYears,Base.Area.perYear,Volume.perYear,source,cas.number,ConcType,Effect,LifeStage,ExposureType,Endpoint,ObservedDuration.d,ObsRespMean,ToxUnit,AgroTrakName
Insecticide,ABAMECTIN,3065,210122,5,42024,613,EcotoxExport,71751412,Active ingredient,Behavior,Adult,Food,NOEL,10,8.4e-5,AI ug/org/d,ABAMECTIN (I)
Insecticide,ACETAMIPRID,2894,75829,2,37914,1447,EcotoxExport,135410207,Active ingredient,Mortality,Adult,Food,NOEL,10,2.42,AI ug/org/d,ACETAMIPRID
Insecticide,METHOXYCHLOR,2885,3606,1,3606,2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,GARLIC JUICE,2089,68284,1,68284,2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,ROTENONE,893,229847,5,45969,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CYFLUMETOFEN,858,4801,1,4801,858,ManuallyAdded,400882077,Active ingredient,Mortality,Adult,Food,NOEL,999,116,NA,CYFLUMETOFEN
Insecticide,AZADIRACHTIN,748,72091,4,18023,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,PIPERONYL BUTOXIDE,671,17205,1,17205,671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,METALDEHYDE,583,1456,1,1456,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,AFIDOPYROPEN,573,41079,2,20540,286,EcotoxExport,915972177,Active ingredient,Mortality,Adult,Food,NOEL,10,73.31,AI ug/org/d,AFIDOPYROPEN
Insecticide,HARPIN PROTEIN,38,64061,2,32030,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,TRALOMETHRIN,17,808,1,808,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,FENBUTATIN OXIDE,0,590,1,590,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
