INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,DTXCID,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
1071836,CASRN,DTXSID1024122,Glyphosate,1071-83-6,DTXCID004122,XDDAORKBJWWYJS-UHFFFAOYSA-N,N-(Phosphonomethyl)glycine,C3H8NO5P,169.073,169.01400936,0.0122744,N/A,0.000794328,1.565,0.351,0.000233884,222.585,150.437,0.204,0.0225944,N/A,N/A,N/A,N/A,N/A,8.41395,8.11535E-12,4.08299,4.464,318.131,5.18451E-11,0.0794085,8.40362,2078.38,-3.39865,189.461,N/A,N/A,9.73706E-8,0.0655839
1079330,CASRN,DTXSID0042161,Mobam,1079-33-0,DTXCID8022161,BOTUVXISJHKZKJ-UHFFFAOYSA-N,1-Benzothiophen-4-yl methylcarbamate,C10H9NO2S,207.25,207.035399708,5.30884,325.495,0.0000219281,1.307,0.937,N/A,158.547,113.183,0.37,0.000794328,N/A,N/A,0.00016788,69.6627,0.0000055847,0.000313329,1.05032E-11,5.95473,3.53815,291.207,3.00442E-9,0.0888882,8.93371,458.363,2.35262,112.283,N/A,N/A,5.20625E-7,0.00148352
1134232,CASRN,DTXSID6032356,Ethyl N-cyclohexyl-N-ethylthiolcarbamate,1134-23-2,DTXCID4012356,DFCAFRGABIXSDS-UHFFFAOYSA-N,S-Ethyl cyclohexyl(ethyl)carbamothioate,C11H21NOS,215.36,215.134385474,27.1019,N/A,0.0000281838,1.011,0.445,N/A,130.252,22.016,0.352,0.00676083,N/A,N/A,N/A,N/A,0.00480839,0.00052723,3.53576E-11,44.9829,2.66993,253.16,1.70575E-7,0.200508,7.53275,346.852,3.92367,11.7077,N/A,N/A,0.00199566,0.000385323
1194656,CASRN,DTXSID5032365,"2,6-Dichlorobenzonitrile",1194-65-6,DTXCID3012365,YOYAIZYFCNQIRF-UHFFFAOYSA-N,"2,6-Dichlorobenzonitrile",C7H3Cl2N,172.01,170.9642545,27.9898,255.39,0.00000866962,1.415,0.28,0.000102565,106.978,68.64,-0.011,0.00922571,40.037,134.476,0.000210378,2.19281,0.0114551,0.00179061,7.61003E-12,32.2862,5.33387,269.865,0.0000116922,2.74658,5.87267,316.329,2.74149,144.159,N/A,N/A,0.000669028,0.000113831
1214397,CASRN,DTXSID7032630,N-Benzyladenine,1214-39-7,DTXCID5012630,NWBJYWHLCVSVIJ-UHFFFAOYSA-N,N-Benzyl-1H-purin-6-amine,C12H11N5,225.255,225.101445374,4.90908,411.628,0.0000428549,1.383,0.665,0.0000954993,251.832,231.459,0.943,0.0107647,N/A,N/A,0.000566239,N/A,1.86209E-9,0.00047863,7.05233E-11,2.38232,3.80822,327.141,5.92609E-10,0.130784,7.93976,79.6479,1.56666,232.991,N/A,4.09,1.80494E-11,0.000279087
1317391,CASRN,DTXSID0034489,Cuprous oxide,1317-39-1,DTXCID401324398,KRFJLUBVMFXRPN-UHFFFAOYSA-N,Dicopper(1+) oxide,Cu2O,143.091,141.854111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1344816,CASRN,DTXSID7034414,Calcium polysulfide,1344-81-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1403663,CASRN,DTXSID5034642,Gentamicin,1403-66-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1563662,CASRN,DTXSID9020249,Carbofuran,1563-66-2,DTXCID70249,DUEPRVBVGDRKAG-UHFFFAOYSA-N,"2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-yl methylcarbamate",C12H15NO3,221.256,221.105193347,11.5878,319.001,0.00000419759,1.115,0.767,0.0000657658,166.145,118.814,0.698,0.000269153,N/A,N/A,0.000514044,25.7632,0.00000340408,0.00188365,5.24738E-11,2.8901,4.47288,285.117,2.74505E-9,0.625898,9.03678,56.3325,1.97375,150.869,N/A,N/A,0.00000485143,0.00174481
1582098,CASRN,DTXSID4021395,Trifluralin,1582-09-8,DTXCID401395,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline",C13H16F3N3O4,335.283,335.109290496,149.624,369.442,0.00000606736,1.409,1.145,6.23735E-7,161.745,68.678,0.445,0.0136773,N/A,N/A,0.00000714496,N/A,0.00000291743,0.00000200447,1.38533E-11,2279.43,3.54656,365.044,0.000102672,4.15594,8.41432,15764.7,5.3382,49.7774,N/A,N/A,0.0000459829,8.49753E-7
1610180,CASRN,DTXSID6022341,Prometon,1610-18-0,DTXCID402341,ISEUFVQQFVOBCY-UHFFFAOYSA-N,"6-Methoxy-N~2~,N~4~-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",C10H19N5O,225.296,225.158960252,7.8886,329.884,0.000097051,1.135,0.947,0.0001,173.179,117.416,0.106,0.00269153,N/A,N/A,N/A,N/A,7.51623E-7,0.00400867,1.53736E-11,3.054,3.81693,336.289,2.99829E-8,0.114479,8.41333,397.963,2.99119,91.6904,N/A,N/A,0.00000230284,0.00304746
1689845,CASRN,DTXSID3022162,Bromoxynil,1689-84-5,DTXCID002162,UPMXNNIRAGDFEH-UHFFFAOYSA-N,"3,5-Dibromo-4-hydroxybenzonitrile",C7H3Br2NO,276.915,274.85814,12.331,295.87,3.0761E-7,1.927,N/A,0.000017338,134.163,149.575,0.367,0.00115345,40.568,134.111,0.0000619441,8.57038,0.000264241,0.000237684,6.02263E-12,5.76214,4.88254,306.687,2.31684E-7,0.206329,8.48481,469.167,2.62501,190.015,N/A,N/A,4.81823E-8,0.000430874
1689992,CASRN,DTXSID7023932,Bromoxynil octanoate,1689-99-2,DTXCID803932,DQKWXTIYGWPGOO-UHFFFAOYSA-N,"2,6-Dibromo-4-cyanophenyl octanoate",C15H17Br2NO2,403.114,400.962605,140.929,434.652,6.09537E-8,1.767,N/A,1.98609E-7,213.18,101.917,0.251,0.00103276,37.471,138.843,0.00000130017,27.5423,1.01391E-7,0.00000190108,1.3753E-11,573.95,3.53991,346.735,9.24699E-9,0.517357,9.73319,9968.69,5.39761,45.5151,N/A,N/A,0.00000477266,1.44949E-7
1698608,CASRN,DTXSID3034872,Chloridazon,1698-60-8,DTXCID1014872,WYKYKTKDBLFHCY-UHFFFAOYSA-N,5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,C10H8ClN3O,221.64,221.0355896,N/A,355.091,0.0000181552,1.53,0.679,0.00000763836,165.786,200.736,0.107,0.0072277,N/A,N/A,N/A,N/A,2.5527E-7,0.000860994,2.04027E-11,7.9564,3.33873,332.137,6.42504E-10,0.0757572,8.49864,120.215,1.1718,205.058,N/A,N/A,4.51484E-7,0.00158841
1702176,CASRN,DTXSID9029221,Clopyralid,1702-17-6,DTXCID309221,HUBANNPOLNYSAD-UHFFFAOYSA-N,"3,6-Dichloropyridine-2-carboxylic acid",C6H3Cl2NO2,192.0,190.9540837,2.5527,293.982,0.000250035,1.605,0.26,0.000277332,151.926,158.934,0.114,0.00995405,N/A,N/A,0.00240991,N/A,0.0000647143,0.0301995,6.43701E-12,3.76572,3.54155,286.103,4.90538E-9,0.16897,8.38629,36.3208,1.06176,151.053,N/A,N/A,0.0000120863,0.732186
1757182,CASRN,DTXSID5034775,Akton,1757-18-2,DTXCID80809811,QCKIOHMRUZJYQZ-UHFFFAOYSA-N,"O-[2-Chloro-1-(2,5-dichlorophenyl)ethenyl] O,O-diethyl phosphorothioate",C12H14Cl3O3PS,375.62,373.9466856,970.51,N/A,4.08319E-9,1.433,0.623,5.64937E-7,202.47,39.192,0.07,0.0000912011,N/A,N/A,N/A,N/A,0.0000088308,0.00000505825,1.75996E-11,1949.84,7.27055,394.076,1.01432E-7,5.3411,10.9185,1135.23,5.06379,55.77,N/A,N/A,0.00000588029,0.00000313393
1836755,CASRN,DTXSID7020970,Nitrofen,1836-75-5,DTXCID30970,XITQUSLLOSKDTB-UHFFFAOYSA-N,"2,4-Dichloro-1-(4-nitrophenoxy)benzene",C12H7Cl2NO3,284.09,282.9802985,899.498,359.215,0.00000163682,1.452,0.697,0.00000106905,184.658,99.224,0.751,0.00961612,N/A,133.645,0.00000322107,N/A,4.48745E-7,0.00000186209,2.58539E-12,739.33,3.71673,358.785,0.0000679835,7.23919,8.61388,10030.7,4.6398,70.1221,N/A,N/A,0.00000171599,0.00000353106
1861401,CASRN,DTXSID3023899,Benfluralin,1861-40-1,DTXCID203899,SMDHCQAYESWHAE-UHFFFAOYSA-N,"N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",C13H16F3N3O4,335.283,335.109290496,234.963,361.409,0.00000433511,1.405,1.142,6.65273E-7,169.533,65.575,0.608,0.0156315,N/A,N/A,0.00000714496,N/A,0.00000445656,0.00000164059,1.38536E-11,941.609,3.54327,369.959,0.0000425165,1.86534,8.41432,10697.1,5.28994,65.1518,N/A,N/A,0.0000650493,4.79272E-7
1897456,CASRN,DTXSID0020319,Chlorothalonil,1897-45-6,DTXCID20319,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",C8Cl4N2,265.9,263.8815588,44.2,341.73,1.38038E-7,1.62,0.29,0.00000537032,158.69,181.4,0.05,0.00489779,32.28,122.38,0.0000125893,2.5704,0.000218776,0.0000229087,2.83527E-12,63.2267,4.67662,349.957,0.00000200832,1.85629,8.49259,1820.27,2.97569,249.868,N/A,N/A,5.72958E-7,0.0000024103
1910425,Integrated Source CAS-RN - WARNING: Synonym mapped to two or more chemicals,DTXSID3034799,Paraquat,4685-14-7,DTXCID1014799,INFDPOAKFNIJBF-UHFFFAOYSA-N,"1,1'-Dimethyl-4,4'-bipyridin-1-ium",C12H14N2,186.257,186.114601299,N/A,N/A,N/A,N/A,0.345,0.000881049,N/A,N/A,N/A,0.00261216,N/A,N/A,N/A,N/A,N/A,N/A,4.22674E-11,1.91512,8.29905,319.52,0.000192882,3.82851,7.43163,1067.05,3.24166,145.857,N/A,N/A,0.000455755,2.76404
1910425,CASRN - WARNING: Synonym mapped to two or more chemicals,DTXSID7024243,Paraquat dichloride,1910-42-5,DTXCID204243,FIKAKWIAUPDISJ-UHFFFAOYSA-L,"1,1'-Dimethyl-4,4'-bipyridin-1-ium dichloride",C12H14Cl2N2,257.16,256.0534039,N/A,N/A,N/A,N/A,0.345,0.000881049,N/A,N/A,N/A,0.00261216,N/A,N/A,N/A,N/A,N/A,N/A,4.22674E-11,1.91512,8.29905,319.52,0.000192882,3.82851,7.43163,1067.05,-4.49526,173.283,N/A,N/A,0.000455755,2.76404
1912249,CASRN,DTXSID9020112,Atrazine,1912-24-9,DTXCID90112,MXWJVTOOROXGIU-UHFFFAOYSA-N,"6-Chloro-N~2~-ethyl-N~4~-(propan-2-yl)-1,3,5-triazine-2,4-diamine",C8H14ClN5,215.69,215.0937732,8.49181,312.186,0.0000810961,1.236,0.556,0.000088308,175.284,154.06,0.196,0.00635331,N/A,158.367,N/A,N/A,4.96592E-7,0.000440555,1.66556E-11,7.94979,4.90761,337.108,1.23943E-8,0.0892399,8.38479,173.852,2.61148,173.141,N/A,1.61,2.88134E-7,0.000198547
1918009,CASRN,DTXSID4024018,Dicamba,1918-00-9,DTXCID904018,IWEDIXLBFLAXBO-UHFFFAOYSA-N,"3,6-Dichloro-2-methoxybenzoic acid",C8H6Cl2O3,221.03,219.9693995,4.12098,314.148,0.00011246,1.483,0.447,0.00011722,152.494,148.806,0.143,0.00464515,N/A,N/A,0.00165196,N/A,0.0000306196,0.00726106,4.84574E-12,3.37742,3.52026,301.331,2.49008E-9,0.256173,8.67575,31.7015,2.21198,115.133,N/A,N/A,0.0000333003,0.0684572
1918021,CASRN,DTXSID1021160,Picloram,1918-02-1,DTXCID101160,NQQVFXUMIDALNH-UHFFFAOYSA-N,"4-Amino-3,5,6-trichloropyridine-2-carboxylic acid",C6H3Cl3N2O2,241.45,239.9260104,1.23595,346.13,0.000163682,1.699,0.504,0.000172584,194.591,239.345,0.343,0.0132739,N/A,N/A,0.0012388,N/A,2.2182E-7,0.000476431,8.14808E-12,2.72427,4.09513,296.149,6.89915E-10,0.29306,8.1492,19.9741,1.89926,218.488,N/A,N/A,7.23316E-11,0.00178706
1918167,CASRN,DTXSID4024274,Propachlor,1918-16-7,DTXCID504274,MFOUDYKPLGXPGO-UHFFFAOYSA-N,2-Chloro-N-phenyl-N-(propan-2-yl)acetamide,C11H14ClNO,211.69,211.0763918,20.797,300.836,0.0000418794,1.068,0.777,0.000127644,142.634,54.531,0.347,0.00161808,N/A,145.07,0.000213796,8.85116,0.000100925,0.00156675,1.45062E-11,55.3695,4.4824,292.105,1.23831E-7,0.211775,7.38327,262.891,2.18155,76.9232,N/A,N/A,0.000231259,0.00320445
1928434,CASRN,DTXSID4034235,"2,4-D 2-EHE",1928-43-4,DTXCID40444,QZSFJRIWRPJUOH-UHFFFAOYSA-N,"2-Ethylhexyl (2,4-dichlorophenoxy)acetate",C16H22Cl2O3,333.25,332.0946,190.985,372.393,0.00000619441,1.192,0.441,0.00000108643,152.777,26.233,-0.006,0.0011749,38.334,139.731,0.00000111173,17.1396,0.00000258821,0.00000155597,1.70796E-11,655.085,4.9055,325.767,8.2553E-8,1.08863,9.66151,2873.1,5.77889,1.42777,N/A,N/A,0.0000033494,0.00000138458
1929824,CASRN,DTXSID0024216,Nitrapyrin,1929-82-4,DTXCID504216,DCUJJWWUNKIJPH-UHFFFAOYSA-N,2-Chloro-6-(trichloromethyl)pyridine,C6H3Cl4N,230.9,228.9019599,N/A,257.289,N/A,1.542,0.444,0.0000295121,120.292,40.955,N/A,0.00588844,N/A,N/A,N/A,N/A,0.0107895,0.000162181,2.28367E-11,661.578,5.88915,266.246,0.00016051,10.6221,5.75483,418.297,3.41029,63.0277,N/A,N/A,0.00482165,0.000206269
1982496,CASRN,DTXSID7032474,Siduron,1982-49-6,DTXCID5012474,JXVIIQLNUPXOII-UHFFFAOYSA-N,N-(2-Methylcyclohexyl)-N'-phenylurea,C14H20N2O,232.327,232.157563272,7.58578,345.392,0.0000261216,1.157,0.566,0.0000306196,156.784,144.136,-0.056,0.0124165,N/A,N/A,N/A,N/A,2.44906E-8,0.000356451,1.75357E-11,19.9222,3.33946,291.21,1.98996E-10,0.153334,9.12469,204.11,3.79799,135.643,N/A,N/A,4.03855E-9,0.0000791023
2008415,CASRN,DTXSID7023936,Butylate,2008-41-5,DTXCID403936,BMTAFVWTTFSTOG-UHFFFAOYSA-N,S-Ethyl bis(2-methylpropyl)carbamothioate,C11H23NOS,217.37,217.150035539,33.9625,N/A,0.000012388,0.936,0.204,N/A,119.188,9.999,0.266,0.00924698,N/A,N/A,N/A,N/A,0.00648634,0.000431519,2.69191E-11,25.6398,11.4793,241.313,0.0000129486,0.126461,7.43743,129.18,4.14868,1.74628,N/A,N/A,0.0130344,0.000209019
2032599,CASRN,DTXSID7022172,Aminocarb,2032-59-9,DTXCID302172,IMIDOCRTMDIQIJ-UHFFFAOYSA-N,4-(Dimethylamino)-3-methylphenyl methylcarbamate,C11H16N2O2,208.261,208.121177763,7.04693,309.916,0.0000262422,1.06,0.773,0.0000605341,149.141,78.565,0.651,0.000260016,N/A,N/A,N/A,18.8365,0.0000263027,0.00326588,1.46047E-11,15.901,4.63697,284.998,4.28423E-9,0.247212,8.62945,100.133,1.9013,93.5005,N/A,N/A,0.0000161352,0.00436202
2032657,CASRN,DTXSID3032626,Methiocarb,2032-65-7,DTXCID1012626,YFBPRJGDJKVWAH-UHFFFAOYSA-N,"3,5-Dimethyl-4-(methylsulfanyl)phenyl methylcarbamate",C11H15NO2S,225.31,225.082349901,9.12011,293.951,0.00000537032,1.179,0.742,0.0000165577,160.371,105.453,0.769,0.000618016,N/A,N/A,N/A,N/A,0.0000136458,0.000530884,1.4457E-11,34.1692,3.5316,291.275,1.1841E-9,0.0958216,9.5407,208.272,2.91751,119.694,N/A,N/A,2.72815E-7,0.00010167
2039465,CASRN,DTXSID0034699,MCPA dimethylamine salt,2039-46-5,DTXCID8014699,PKAUICCNAWQPAU-UHFFFAOYSA-N,(4-Chloro-2-methylphenoxy)acetic acid--N-methylmethanamine (1/1),C11H16ClNO3,245.7,245.0818711,2.10863,308.549,0.000379315,1.325,0.691,0.000160694,157.923,117.889,0.056,0.00374111,41.803,145.262,0.000225424,13.3045,0.0000163682,0.00414,1.17055E-11,3.64045,3.54139,286.714,7.04143E-9,0.110027,8.53099,53.719,1.36433,87.6877,N/A,N/A,0.00000582008,0.00952118
2104645,CASRN,DTXSID7022174,EPN,2104-64-5,DTXCID102174,AIGRXSNSLVJMEA-UHFFFAOYSA-N,O-Ethyl O-(4-nitrophenyl) phenylphosphonothioate,C14H14NO4PS,323.3,323.038116107,95.0605,N/A,2.95121E-8,1.36,0.637,0.00000283139,202.786,49.027,0.261,0.0000746449,N/A,N/A,N/A,N/A,0.00000188365,0.0000174985,1.56036E-11,932.452,6.30009,398.892,0.00000130519,1.04751,10.4211,1320.36,4.77624,36.1115,N/A,N/A,9.47914E-7,0.0000052193
2163806,CASRN,DTXSID2025686,Monosodium methanearsonate,2163-80-6,DTXCID505686,JITOKQVGRJSHHA-UHFFFAOYSA-M,Sodium hydrogen methylarsonate,CH4AsNaO3,161.951,161.927408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2164172,CASRN,DTXSID8020628,Fluometuron,2164-17-2,DTXCID40628,RZILCCPWPBTYDO-UHFFFAOYSA-N,"N,N-Dimethyl-N'-[3-(trifluoromethyl)phenyl]urea",C10H11F3N2O,232.206,232.082347471,28.774,280.864,0.0000966051,1.272,0.851,0.000127938,139.364,90.907,0.047,0.00319154,N/A,N/A,N/A,N/A,8.07235E-7,0.000616595,1.01678E-11,10.1565,4.49092,302.891,9.18068E-9,0.0861968,9.21809,79.5767,2.42095,163.872,N/A,N/A,9.40215E-7,0.000388879
2212671,CASRN,DTXSID6024206,Molinate,2212-67-1,DTXCID204206,DEDOPGXGGQYYMW-UHFFFAOYSA-N,S-Ethyl azepane-1-carbothioate,C9H17NOS,187.3,187.103085345,N/A,N/A,0.0000729458,1.049,0.726,N/A,125.358,27.57,0.294,0.00452898,N/A,N/A,N/A,N/A,0.00810961,0.00263633,2.66814E-11,25.6166,3.69337,235.411,0.00000405102,0.0831248,6.6655,83.465,3.2091,70.5421,N/A,N/A,0.00559749,0.00536262
2303175,CASRN,DTXSID5024344,Tri-allate,2303-17-5,DTXCID804344,MWBPRDONLNQCFV-UHFFFAOYSA-N,"S-(2,3,3-Trichloroprop-2-en-1-yl) dipropan-2-ylcarbamothioate",C10H16Cl3NOS,304.65,303.0018184,90.7821,N/A,0.00000145546,1.179,0.189,N/A,138.716,13.164,0.687,0.0144544,N/A,N/A,N/A,N/A,0.000402717,0.0000345144,1.45933E-11,454.39,4.40087,293.249,0.0000517357,0.166949,8.85561,2234.16,4.59952,29.0233,N/A,N/A,0.000120097,0.0000133432
2310170,CASRN,DTXSID1024259,Phosalone,2310-17-0,DTXCID904259,IOUNQDKNJZEDEP-UHFFFAOYSA-N,"S-[(6-Chloro-2-oxo-1,3-benzoxazol-3(2H)-yl)methyl] O,O-diethyl phosphorodithioate",C12H15ClNO4PS2,367.8,366.986865,53.3335,N/A,1.8197E-9,1.447,0.578,0.00000199986,225.419,63.828,0.702,0.000803526,N/A,N/A,N/A,N/A,8.09096E-8,0.00000864968,1.7107E-11,499.214,94.7555,417.378,1.9956E-7,1.6824,11.6888,426.685,4.38002,47.7737,N/A,N/A,1.23063E-7,0.00000604461
2312358,CASRN,DTXSID4024276,Propargite,2312-35-8,DTXCID304276,ZYHMJXZULPZUED-UHFFFAOYSA-N,2-(4-tert-Butylphenoxy)cyclohexyl prop-2-yn-1-yl sulfite,C19H26O4S,350.47,350.155180491,N/A,325.241,N/A,1.156,0.793,0.00000150314,226.232,23.328,N/A,0.011885,N/A,N/A,N/A,N/A,1.79887E-7,0.0000271019,2.93637E-11,10.8798,5.67208,362.007,0.00000944352,0.567786,10.6946,3973.9,4.99861,198.998,N/A,N/A,3.00561E-7,0.00000108364
2385855,CASRN,DTXSID7020895,Mirex,2385-85-5,DTXCID10895,GVYLCNUFSHDAAW-UHFFFAOYSA-N,"1,1a,2,2,3,3a,4,5,5,5a,5b,6-Dodecachlorooctahydro-1H-1,3,4-(methanetriyl)cyclobuta[cd]pentalene",C10Cl12,545.51,539.6262324,N/A,358.388,5.71479E-8,2.261,N/A,0.00000316228,222.576,215.404,0.53,0.000362243,N/A,N/A,N/A,N/A,4.81948E-7,1.94536E-7,1.56075E-13,20380,830.283,377.265,0.000811514,63.1029,11.7145,998351,6.88879,313.227,N/A,N/A,7.91954E-7,1.54822E-7
2439012,CASRN,DTXSID2032342,Chinomethionate,2439-01-2,DTXCID0012342,FBQQHUGEACOBDN-UHFFFAOYSA-N,"6-Methyl-2H-[1,3]dithiolo[4,5-b]quinoxalin-2-one",C10H6N2OS2,234.29,233.992155169,N/A,N/A,N/A,N/A,0.545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.70645E-11,13.696,10.9691,353.955,1.88019E-9,0.18928,9.22408,2291.56,3.7738,169.914,N/A,N/A,2.00435E-7,0.00000427901
2439103,CASRN,DTXSID3020548,Dodecylguanidine acetate,2439-10-3,DTXCID70548,YIKWKLYQRFRGPM-UHFFFAOYSA-N,Acetic acid--N-dodecylguanidine (1/1),C15H33N3O2,287.448,287.257277315,13.9959,N/A,0.0000389942,1.077,0.996,N/A,171.34,113.55,0.759,0.00381066,N/A,N/A,0.0000375837,N/A,N/A,0.00207014,2.07831E-11,78.8174,5.96913,255.147,3.49089E-9,0.181987,8.32201,1240.5,1.1501,136,N/A,N/A,1.50969E-7,0.00246169
2536314,CASRN,DTXSID4032534,Chlorflurenol-methyl,2536-31-4,DTXCID2012534,LINPVWIEWJTEEJ-UHFFFAOYSA-N,Methyl 2-chloro-9-hydroxy-9H-fluorene-9-carboxylate,C15H11ClO3,274.7,274.0396719,121.06,382.561,0.0000122744,1.373,0.931,0.00000457088,214.518,130.858,0.169,0.010617,N/A,137.701,0.0000367282,N/A,9.35406E-7,0.0000907821,6.92084E-11,83.1065,6.77541,337.964,1.9905E-10,0.677982,9.88993,1074.23,3.57856,138.777,N/A,N/A,4.56515E-7,0.0000693299
2545600,CASRN,DTXSID8034821,Picloram potassium salt,2545-60-0,DTXCID6014821,ZRHANBBTXQZFSP-UHFFFAOYSA-M,"Potassium 4-amino-3,5,6-trichloropyridine-2-carboxylate",C6H2Cl3KN2O2,279.54,277.8818919,0.881049,346.13,0.000137404,1.732,0.504,0.000168267,201.491,239.345,0.343,0.0132739,N/A,N/A,0.0012388,N/A,2.2182E-7,0.000638263,8.14808E-12,2.72427,4.09513,296.149,6.89915E-10,0.29306,8.1492,19.9741,-1.89271,197.127,N/A,N/A,7.23316E-11,0.00178706
2593159,CASRN,DTXSID3032547,Etridiazole,2593-15-9,DTXCID1012547,KQTVWCSONPJJPE-UHFFFAOYSA-N,"5-Ethoxy-3-(trichloromethyl)-1,2,4-thiadiazole",C5H5Cl3N2OS,247.52,245.9188171,N/A,276.19,N/A,1.606,0.618,N/A,133.918,49.889,0.94,0.00381944,N/A,N/A,N/A,N/A,0.00145881,0.000304789,1.43414E-11,3.35339,4.79223,188.092,0.00000292052,1.71815,6.65738,996.311,3.36811,20.0015,N/A,N/A,0.00010045,0.000432985
2597037,CASRN,DTXSID6042280,Phenthoate,2597-03-7,DTXCID4022280,XAMUDJHXFNRLCY-UHFFFAOYSA-N,Ethyl [(dimethoxyphosphorothioyl)sulfanyl](phenyl)acetate,C12H17O4PS2,320.36,320.030588373,35.8922,N/A,9.977E-9,1.274,0.514,0.00000901571,186.678,20.975,0.509,0.000204644,N/A,N/A,N/A,N/A,0.00000625173,0.0000587489,1.97994E-11,48.9392,199.703,373.858,1.40299E-7,0.178296,9.87835,996.889,3.69016,17.4437,N/A,N/A,0.00000261415,0.0000110236
2631370,CASRN,DTXSID4037617,Promecarb,2631-37-0,DTXCID2017617,DTAPQAJKAFRNJB-UHFFFAOYSA-N,3-Methyl-5-(propan-2-yl)phenyl methylcarbamate,C12H17NO2,207.273,207.125928791,6.74528,300.252,0.00000278612,1.025,0.905,0.0000184927,128.248,73.912,0.611,0.000524807,N/A,N/A,0.000110662,28.9068,0.0000651628,0.00102094,1.41376E-11,9.4768,4.44947,279.831,1.44316E-8,0.253581,9.28185,299.294,3.0966,86.4714,N/A,N/A,0.0000302994,0.000442491
2631405,CASRN,DTXSID6042072,Isoprocarb,2631-40-5,DTXCID4022072,QBSJMKIUCUGGNG-UHFFFAOYSA-N,2-(Propan-2-yl)phenyl methylcarbamate,C11H15NO2,193.246,193.110278727,4.85288,270.458,0.00000437522,1.045,0.894,0.000032434,126.971,72.343,0.575,0.00149279,N/A,N/A,0.00078886,20.5589,0.000135519,0.00167109,1.51252E-11,8.90531,4.49236,273.796,1.68873E-8,0.0563347,8.69133,55.0033,2.31367,93.603,N/A,N/A,0.000021382,0.00169245
